Metric,CWE-502,CWE-22,CWE-611,CWE-787,CWE-770,CWE-20,CWE-94,CWE-835,CWE-79,CWE-400,others
Count,8298.0,2420.0,1877.0,1512.0,1271.0,929.0,499.0,720.0,1019.0,526.0,9846.0
ATTAIN_Precision,0.9921,0.9398,0.992,0.9822,1.0,0.9583,1.0,1.0,0.9078,0.9254,0.9552
ATTAIN_Recall,0.928,0.8852,0.8878,0.9369,0.7523,0.7667,0.6818,0.9381,0.6459,0.9347,0.8929
ATTAIN_F1,0.959,0.9117,0.937,0.959,0.8586,0.8519,0.8108,0.9681,0.7548,0.93,0.923
PoConly_Precision,0.9954,1.0,1.0,0.9822,1.0,1.0,1.0,1.0,0.8956,0.9841,0.9924
PoConly_Recall,0.906,0.8562,0.799,0.9369,0.7367,0.7667,0.5795,0.8952,0.5344,0.9347,0.7702
PoConly_F1,0.9486,0.9226,0.8883,0.959,0.8484,0.8679,0.7338,0.9447,0.6694,0.9588,0.8673
V-SZZ_Precision,0.7023,0.3693,0.9641,0.7557,0.9561,0.5461,0.0769,0.6549,0.3469,0.4167,0.6844
V-SZZ_Recall,0.1382,0.6255,0.1643,0.2633,0.4241,0.2139,0.1193,0.8857,0.5607,0.3769,0.5813
V-SZZ_F1,0.2309,0.4644,0.2807,0.3905,0.5876,0.3074,0.0935,0.753,0.4286,0.3958,0.6287
LLM4SZZ_Precision,0.929,0.7054,0.9693,0.9773,0.7932,0.7535,1.0,0.7637,0.9674,0.7066,0.7591
LLM4SZZ_Recall,0.5619,0.7125,0.7745,0.4745,0.3333,0.45,0.7216,0.6619,0.5836,0.593,0.5
LLM4SZZ_F1,0.7002,0.7089,0.861,0.6388,0.4694,0.5635,0.8383,0.7092,0.728,0.6448,0.6029
