CWE_ID,Count,Percentage
CWE-502,48,20.17%
CWE-22,22,9.24%
CWE-611,19,7.98%
CWE-787,19,7.98%
CWE-770,12,5.04%
CWE-20,12,5.04%
CWE-94,11,4.62%
CWE-835,11,4.62%
CWE-79,11,4.62%
CWE-400,6,2.52%
CWE-918,6,2.52%
CWE-121,6,2.52%
CWE-74,5,2.1%
CWE-78,5,2.1%
CWE-434,4,1.68%
CWE-444,4,1.68%
CWE-917,3,1.26%
CWE-834,3,1.26%
CWE-190,3,1.26%
CWE-120,3,1.26%
CWE-674,3,1.26%
CWE-77,2,0.84%
CWE-113,2,0.84%
CWE-776,2,0.84%
CWE-668,2,0.84%
CWE-863,2,0.84%
CWE-116,2,0.84%
CWE-89,2,0.84%
CWE-295,2,0.84%
CWE-184,2,0.84%
CWE-755,2,0.84%
CWE-287,2,0.84%
CWE-200,2,0.84%
CWE-310,1,0.42%
CWE-284,1,0.42%
CWE-494,1,0.42%
CWE-176,1,0.42%
CWE-732,1,0.42%
CWE-522,1,0.42%
CWE-123,1,0.42%
CWE-91,1,0.42%
CWE-1321,1,0.42%
CWE-470,1,0.42%
CWE-347,1,0.42%
CWE-264,1,0.42%
CWE-399,1,0.42%
NVD-CWE-Other,1,0.42%
CWE-417,1,0.42%
CWE-306,1,0.42%
CWE-130,1,0.42%
CWE-1333,1,0.42%
CWE-178,1,0.42%
CWE-665,1,0.42%
CWE-840,1,0.42%
CWE-754,1,0.42%
CWE-248,1,0.42%
CWE-476,1,0.42%
CWE-117,1,0.42%
CWE-377,1,0.42%
CWE-436,1,0.42%
CWE-87,1,0.42%
CWE-404,1,0.42%
CWE-331,1,0.42%
CWE-681,1,0.42%
CWE-195,1,0.42%
CWE-61,1,0.42%
CWE-862,1,0.42%
