case_id,cve_id,artifact,baseline_version,target_version,status,failure_kind,failure_subtype,scenario_type,vulnerability_presence_score,final_failure_reason,vulnerability_presence_verdict,judgment_confidence
CVE-2013-7285__00__1.4.1__1.4,CVE-2013-7285,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2013-7285__02__1.4.10__1.4.9,CVE-2013-7285,com.thoughtworks.xstream:xstream,1.4.10,1.4.9,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2014-0097__02__3.1.0.RELEASE__3.0.7.RELEASE,CVE-2014-0097,org.springframework.security:spring-security-ldap,3.1.0.RELEASE,3.0.7.RELEASE,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2014-0114__01__1.7.0__1.6.1,CVE-2014-0114,commons-beanutils:commons-beanutils,1.7.0,1.6.1,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2014-0114__02__1.8.0__1.5,CVE-2014-0114,commons-beanutils:commons-beanutils,1.8.0,1.5,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,medium
CVE-2014-125087__00__1.1__1.0,CVE-2014-125087,com.jamesmurty.utils:java-xmlbuilder,1.1,1.0,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2014-3578__00__1.2.6__1.2.5,CVE-2014-3578,org.springframework:spring-core,1.2.6,1.2.5,trace_diff,,trace_difference,trace_diff,49,undetermined,unknown,low
CVE-2014-3625__00__3.0.4.RELEASE__3.0.3.RELEASE,CVE-2014-3625,org.springframework:spring-webmvc,3.0.4.RELEASE,3.0.3.RELEASE,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2014-3625__02__3.2.2.RELEASE__3.2.1.RELEASE,CVE-2014-3625,org.springframework:spring-webmvc,3.2.2.RELEASE,3.2.1.RELEASE,trace_diff,,trace_difference,trace_diff,41,vulnerability_not_present,no,low
CVE-2014-3625__04__4.0.0.RELEASE__3.2.18.RELEASE,CVE-2014-3625,org.springframework:spring-webmvc,4.0.0.RELEASE,3.2.18.RELEASE,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2014-3625__06__4.1.0.RELEASE__4.0.9.RELEASE,CVE-2014-3625,org.springframework:spring-webmvc,4.1.0.RELEASE,4.0.9.RELEASE,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2015-6748__00__1.6.2__1.6.1,CVE-2015-6748,org.jsoup:jsoup,1.6.2,1.6.1,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2016-4465__00__2.3.20__2.3.16.3,CVE-2016-4465,org.apache.struts.xwork:xwork-core,2.3.20,2.3.16.3,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2016-4465__02__2.3.20.1__2.2.3.1,CVE-2016-4465,org.apache.struts.xwork:xwork-core,2.3.20.1,2.2.3.1,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2016-4465__03__2.3.20.3__2.2.3.1,CVE-2016-4465,org.apache.struts.xwork:xwork-core,2.3.20.3,2.2.3.1,trace_diff,,trace_difference,trace_diff,51,undetermined,unknown,low
CVE-2016-9879__00__3.0.4.RELEASE__3.0.3.RELEASE,CVE-2016-9879,org.springframework.security:spring-security-web,3.0.4.RELEASE,3.0.3.RELEASE,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2017-7957__00__1.4.5__1.4.4,CVE-2017-7957,com.thoughtworks.xstream:xstream,1.4.5,1.4.4,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2017-7957__02__1.4.7__1.4.6,CVE-2017-7957,com.thoughtworks.xstream:xstream,1.4.7,1.4.6,trace_diff,,trace_difference,trace_diff,15,vulnerability_not_present,no,high
CVE-2018-1000613__00__1.58__1.57,CVE-2018-1000613,org.bouncycastle:bcprov-jdk15on,1.58,1.57,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2018-1000873__00__2.6.0-rc2__2.6.0-rc1,CVE-2018-1000873,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.6.0-rc2,2.6.0-rc1,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2018-11039__02__3.0.0.RELEASE__2.5.6.SEC01,CVE-2018-11039,org.springframework:spring-web,3.0.0.RELEASE,2.5.6.SEC01,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2018-12036__00__1.2.2__1.2.1,CVE-2018-12036,org.owasp:dependency-check-maven,1.2.2,1.2.1,trace_diff,,trace_difference,trace_diff,40,vulnerability_not_present,no,low
CVE-2018-1324__00__1.11__1.10,CVE-2018-1324,org.apache.commons:commons-compress,1.11,1.10,trace_diff,,trace_difference,trace_diff,80,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2018-15756__03__4.2.0.RELEASE__4.1.7.RELEASE,CVE-2018-15756,org.springframework:spring-web,4.2.0.RELEASE,4.1.7.RELEASE,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2018-18893__00__2.4.5__2.4.4,CVE-2018-18893,com.hubspot.jinjava:jinjava,2.4.5,2.4.4,trace_diff,,trace_difference,trace_diff,53,undetermined,unknown,low
CVE-2018-8009__05__0.23.1__0.22.0,CVE-2018-8009,org.apache.hadoop:hadoop-common,0.23.1,0.22.0,execution_failure,dependency_resolution_failure,dependency_resolution_failure,dependency_resolution_failure,50,undetermined,unknown,low
CVE-2019-10094__00__1.19__1.18,CVE-2019-10094,org.apache.tika:tika-parsers,1.19,1.18,trace_diff,,trace_difference,trace_diff,55,undetermined,unknown,low
CVE-2019-10219__00__6.0.5.Final__6.0.4.Final,CVE-2019-10219,org.hibernate.validator:hibernate-validator,6.0.5.Final,6.0.4.Final,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2019-13990__01__2.1.0__2.0.2,CVE-2019-13990,org.quartz-scheduler:quartz,2.1.0,2.0.2,trace_diff,,trace_difference,trace_diff,55,undetermined,unknown,low
CVE-2019-16771__01__0.87.0__0.81.1,CVE-2019-16771,com.linecorp.armeria:armeria,0.87.0,0.81.1,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2019-16869__00__5.0.0.Alpha2__5.0.0.Alpha1,CVE-2019-16869,io.netty:netty-codec-http,5.0.0.Alpha2,5.0.0.Alpha1,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2019-16869__02__4.1.125.Final__4.1.124.Final,CVE-2019-16869,io.netty:netty-codec-http,4.1.125.Final,4.1.124.Final,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2019-16869__03__4.2.5.Final__4.2.4.Final,CVE-2019-16869,io.netty:netty-codec-http,4.2.5.Final,4.2.4.Final,trace_diff,,trace_difference,trace_diff,90,exploit_invalid_due_to_version_change,possibly_yes,high
CVE-2019-16869__04__4.1.0.Beta1__4.0.21.Final,CVE-2019-16869,io.netty:netty-codec-http,4.1.0.Beta1,4.0.21.Final,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2019-16942__05__2.3.0-rc1__2.2.3,CVE-2019-16942,com.fasterxml.jackson.core:jackson-databind,2.3.0-rc1,2.2.3,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2019-20444__00__5.0.0.Alpha2__5.0.0.Alpha1,CVE-2019-20444,io.netty:netty-codec-http,5.0.0.Alpha2,5.0.0.Alpha1,trace_diff,,trace_difference,trace_diff,75,undetermined,possibly_yes,medium
CVE-2019-20444__02__4.1.0.Beta1__4.0.21.Final,CVE-2019-20444,io.netty:netty-codec-http,4.1.0.Beta1,4.0.21.Final,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2019-20445__00__5.0.0.Alpha2__5.0.0.Alpha1,CVE-2019-20445,io.netty:netty-all,5.0.0.Alpha2,5.0.0.Alpha1,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2019-20445__02__4.1.0.Beta1__4.0.21.Final,CVE-2019-20445,io.netty:netty-all,4.1.0.Beta1,4.0.21.Final,trace_diff,,trace_difference,trace_diff,42,vulnerability_not_present,no,low
CVE-2019-5312__00__2.5.4.BETA__2.5.3.BETA,CVE-2019-5312,com.github.binarywang:weixin-java-pay,2.5.4.BETA,2.5.3.BETA,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2019-5427__00__0.9.5.3__0.9.5.2,CVE-2019-5427,com.mchange:c3p0,0.9.5.3,0.9.5.2,trace_diff,,trace_difference,trace_diff,100,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2020-11619__02__2.7.9.3__2.7.9.2,CVE-2020-11619,com.fasterxml.jackson.core:jackson-databind,2.7.9.3,2.7.9.2,trace_diff,,trace_difference,trace_diff,15,vulnerability_not_present,no,high
CVE-2020-13956__00__4.3-beta1__4.3-alpha1,CVE-2020-13956,org.apache.httpcomponents:httpclient,4.3-beta1,4.3-alpha1,trace_diff,,trace_difference,trace_diff,49,undetermined,unknown,low
CVE-2020-15250__01__4.7__4.6,CVE-2020-15250,com.github.samtools:htsjdk,4.7,4.6,execution_failure,dependency_resolution_failure,dependency_resolution_failure,dependency_resolution_failure,50,undetermined,unknown,low
CVE-2020-1953__00__2.2__2.1.1,CVE-2020-1953,org.apache.commons:commons-configuration2,2.2,2.1.1,trace_diff,,trace_difference,trace_diff,47,undetermined,unknown,low
CVE-2020-26217__00__1.4.1__1.4,CVE-2020-26217,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2020-26258__00__1.4.1__1.4,CVE-2020-26258,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2020-26259__00__1.0.2__1.0.1,CVE-2020-26259,com.thoughtworks.xstream:xstream,1.0.2,1.0.1,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2020-26259__01__1.4.1__1.4,CVE-2020-26259,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2020-28052__00__1.65__1.64,CVE-2020-28052,org.bouncycastle:bcprov-jdk15to18,1.65,1.64,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2020-28491__02__2.10.0.pr1__2.9.9,CVE-2020-28491,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,2.10.0.pr1,2.9.9,execution_failure,process_failure,missing_class,process_failure,50,undetermined,unknown,medium
CVE-2020-36186__03__2.3.0-rc1__2.2.3,CVE-2020-36186,com.fasterxml.jackson.core:jackson-databind,2.3.0-rc1,2.2.3,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
