CVE,total_rows,fn_count,fp_count,error_count,fn_ratio,fp_ratio,error_ratio
CVE-2011-2732,258,0,0,0,0.0,0.0,0.0
CVE-2013-2055,154,4,0,4,0.025974025974025976,0.0,0.025974025974025976
CVE-2013-6430,320,0,0,0,0.0,0.0,0.0
CVE-2013-7285,41,13,0,13,0.3170731707317073,0.0,0.3170731707317073
CVE-2014-0050,10,0,0,0,0.0,0.0,0.0
CVE-2014-0097,258,0,0,0,0.0,0.0,0.0
CVE-2014-0114,21,0,0,0,0.0,0.0,0.0
CVE-2014-125087,14,8,0,8,0.5714285714285714,0.0,0.5714285714285714
CVE-2014-3004,8,0,0,0,0.0,0.0,0.0
CVE-2014-3578,321,0,0,0,0.0,0.0,0.0
CVE-2014-3625,320,1,0,1,0.003125,0.0,0.003125
CVE-2014-4172,18,0,0,0,0.0,0.0,0.0
CVE-2015-0250,15,0,0,0,0.0,0.0,0.0
CVE-2015-6748,52,15,0,15,0.28846153846153844,0.0,0.28846153846153844
CVE-2016-1000031,10,3,0,3,0.3,0.0,0.3
CVE-2016-1000338,26,0,0,0,0.0,0.0,0.0
CVE-2016-2510,2,0,0,0,0.0,0.0,0.0
CVE-2016-4465,55,0,0,0,0.0,0.0,0.0
CVE-2016-6814,221,0,0,0,0.0,0.0,0.0
CVE-2016-7051,346,69,0,69,0.1994219653179191,0.0,0.1994219653179191
CVE-2016-9879,258,0,0,0,0.0,0.0,0.0
CVE-2017-1000190,48,5,0,5,0.10416666666666667,0.0,0.10416666666666667
CVE-2017-1000487,81,0,0,0,0.0,0.0,0.0
CVE-2017-15095,216,0,0,0,0.0,0.0,0.0
CVE-2017-4995,252,0,0,0,0.0,0.0,0.0
CVE-2017-7525,216,0,0,0,0.0,0.0,0.0
CVE-2017-7957,41,18,0,18,0.43902439024390244,0.0,0.43902439024390244
CVE-2018-1000613,26,0,0,0,0.0,0.0,0.0
CVE-2018-1000632,33,0,0,0,0.0,0.0,0.0
CVE-2018-1000844,18,0,0,0,0.0,0.0,0.0
CVE-2018-1000873,312,60,0,60,0.19230769230769232,0.0,0.19230769230769232
CVE-2018-1002200,87,5,0,5,0.05747126436781609,0.0,0.05747126436781609
CVE-2018-1002201,28,0,0,0,0.0,0.0,0.0
CVE-2018-11039,320,0,0,0,0.0,0.0,0.0
CVE-2018-12036,166,0,0,0,0.0,0.0,0.0
CVE-2018-12418,24,0,0,0,0.0,0.0,0.0
CVE-2018-12544,119,0,0,0,0.0,0.0,0.0
CVE-2018-1261,61,0,0,0,0.0,0.0,0.0
CVE-2018-1274,271,0,0,0,0.0,0.0,0.0
