CVE,total_rows,fn_count,fp_count,error_count
CVE-2019-16869,164,150,14,164
CVE-2019-20444,158,158,0,158
CVE-2021-43797,94,94,0,94
CVE-2023-34455,88,88,0,88
CVE-2022-1848,84,84,0,84
CVE-2020-28491,74,74,0,74
CVE-2022-24897,71,71,0,71
CVE-2016-7051,69,69,0,69
CVE-2020-26217,34,34,0,34
CVE-2020-9546,34,34,0,34
CVE-2020-36518,28,28,0,28
CVE-2021-21346,24,24,0,24
CVE-2021-21351,24,24,0,24
CVE-2021-29505,24,24,0,24
CVE-2019-16942,21,21,0,21
CVE-2020-36186,21,21,0,21
CVE-2021-21344,21,21,0,21
CVE-2021-21349,21,21,0,21
CVE-2021-39141,21,21,0,21
CVE-2021-39144,21,21,0,21
CVE-2021-39150,21,21,0,21
CVE-2021-21345,20,20,0,20
CVE-2017-7957,18,18,0,18
CVE-2020-26259,18,18,0,18
CVE-2022-45688,17,0,17,17
CVE-2020-26258,16,16,0,16
CVE-2013-7285,13,13,0,13
CVE-2021-43859,9,6,3,9
CVE-2022-40151,7,7,0,7
CVE-2022-41966,7,7,0,7
CVE-2022-42003,2,0,2,2
CVE-2023-42278,1,1,0,1
CVE-2017-15095,1,0,1,1
CVE-2018-19360,1,0,1,1
