Library,total_rows,fn_count,fp_count,error_count,fn_ratio,fp_ratio,error_ratio
spring-web,1280,0,96,96,0.0,0.075,0.075
pdfbox,79,0,29,29,0.0,0.3670886075949367,0.3670886075949367
dolphinscheduler-api,46,0,24,24,0.0,0.5217391304347826,0.5217391304347826
jodd-json,57,29,21,50,0.5087719298245614,0.3684210526315789,0.8771929824561403
kernel,188,0,21,21,0.0,0.11170212765957446,0.11170212765957446
antisamy,144,62,20,82,0.4305555555555556,0.1388888888888889,0.5694444444444444
hutool-json,833,1,17,18,0.0012004801920768306,0.02040816326530612,0.021608643457382955
database,27,0,17,17,0.0,0.6296296296296297,0.6296296296296297
hutool-http,208,0,15,15,0.0,0.07211538461538461,0.07211538461538461
json-path,48,0,15,15,0.0,0.3125,0.3125
log4j-core,146,2,12,14,0.0136986301369863,0.0821917808219178,0.0958904109589041
jib-core,31,1,11,12,0.03225806451612903,0.3548387096774194,0.3870967741935484
netty-codec-http,1452,5,7,12,0.003443526170798898,0.0048209366391184574,0.008264462809917356
netty-all,234,1,7,8,0.004273504273504274,0.029914529914529916,0.03418803418803419
soa-model-core,14,0,5,5,0.0,0.35714285714285715,0.35714285714285715
fastjson,352,110,4,114,0.3125,0.011363636363636364,0.32386363636363635
zeppelin-server,19,0,4,4,0.0,0.21052631578947367,0.21052631578947367
xstream,738,278,3,281,0.37669376693766937,0.0040650406504065045,0.3807588075880759
snappy-java,664,88,3,91,0.13253012048192772,0.004518072289156626,0.13704819277108435
json-sanitizer,30,0,2,2,0.0,0.06666666666666667,0.06666666666666667
spring-security-web,1026,8,1,9,0.007797270955165692,0.0009746588693957114,0.008771929824561403
json-smart,140,3,1,4,0.02142857142857143,0.007142857142857143,0.02857142857142857
jackson-databind,7560,83,0,83,0.010978835978835979,0.0,0.010978835978835979
netty-handler,242,79,0,79,0.32644628099173556,0.0,0.32644628099173556
jackson-dataformat-cbor,147,74,0,74,0.5034013605442177,0.0,0.5034013605442177
xwiki-commons-velocity,543,71,0,71,0.13075506445672191,0.0,0.13075506445672191
jackson-dataformat-xml,346,69,0,69,0.1994219653179191,0.0,0.1994219653179191
jinjava,96,64,0,64,0.6666666666666666,0.0,0.6666666666666666
jackson-datatype-jsr310,312,60,0,60,0.19230769230769232,0.0,0.19230769230769232
postgresql,394,52,0,52,0.1319796954314721,0.0,0.1319796954314721
httpclient,110,47,0,47,0.42727272727272725,0.0,0.42727272727272725
spring-security-core,534,38,0,38,0.07116104868913857,0.0,0.07116104868913857
org.apache.sling.api,42,33,0,33,0.7857142857142857,0.0,0.7857142857142857
leshan-core,57,32,0,32,0.5614035087719298,0.0,0.5614035087719298
jose4j,44,23,0,23,0.5227272727272727,0.0,0.5227272727272727
c3p0,40,22,0,22,0.55,0.0,0.55
snakeyaml,216,22,0,22,0.10185185185185185,0.0,0.10185185185185185
jstachio,34,19,0,19,0.5588235294117647,0.0,0.5588235294117647
spring-context,322,19,0,19,0.059006211180124224,0.0,0.059006211180124224
commons-compress,210,16,0,16,0.0761904761904762,0.0,0.0761904761904762
dropwizard-validation,233,16,0,16,0.06866952789699571,0.0,0.06866952789699571
jsoup,104,15,0,15,0.14423076923076922,0.0,0.14423076923076922
hibernate-validator,85,12,0,12,0.1411764705882353,0.0,0.1411764705882353
tika-parsers,69,12,0,12,0.17391304347826086,0.0,0.17391304347826086
esapi,30,10,0,10,0.3333333333333333,0.0,0.3333333333333333
tink,34,9,0,9,0.2647058823529412,0.0,0.2647058823529412
java-xmlbuilder,14,8,0,8,0.5714285714285714,0.0,0.5714285714285714
hutool-core,834,7,0,7,0.008393285371702638,0.0,0.008393285371702638
junrar,72,6,0,6,0.08333333333333333,0.0,0.08333333333333333
nuprocess,60,6,0,6,0.1,0.0,0.1
vaadin-server,274,6,0,6,0.021897810218978103,0.0,0.021897810218978103
boofcv-core,38,5,0,5,0.13157894736842105,0.0,0.13157894736842105
plexus-archiver,87,5,0,5,0.05747126436781609,0.0,0.05747126436781609
simple-xml,48,5,0,5,0.10416666666666667,0.0,0.10416666666666667
curekit,16,4,0,4,0.25,0.0,0.25
hjson,26,4,0,4,0.15384615384615385,0.0,0.15384615384615385
wicket-core,154,4,0,4,0.025974025974025976,0.0,0.025974025974025976
commons-fileupload,20,3,0,3,0.15,0.0,0.15
commons-text,17,3,0,3,0.17647058823529413,0.0,0.17647058823529413
htsjdk,166,2,0,2,0.012048192771084338,0.0,0.012048192771084338
jettison,72,2,0,2,0.027777777777777776,0.0,0.027777777777777776
owasp-java-html-sanitizer,39,2,0,2,0.05128205128205128,0.0,0.05128205128205128
dom4j,44,1,0,1,0.022727272727272728,0.0,0.022727272727272728
nimbus-jose-jwt,301,1,0,1,0.0033222591362126247,0.0,0.0033222591362126247
socket.io-client,51,1,0,1,0.0196078431372549,0.0,0.0196078431372549
spring-webmvc,320,1,0,1,0.003125,0.0,0.003125
armeria,534,0,0,0,0.0,0.0,0.0
batik-transcoder,15,0,0,0,0.0,0.0,0.0
bcprov-jdk15on,52,0,0,0,0.0,0.0,0.0
bcprov-jdk15to18,21,0,0,0,0.0,0.0,0.0
bsh,2,0,0,0,0.0,0.0,0.0
cas-client-core,18,0,0,0,0.0,0.0,0.0
castor-xml,8,0,0,0,0.0,0.0,0.0
commons-beanutils,42,0,0,0,0.0,0.0,0.0
commons-configuration2,16,0,0,0,0.0,0.0,0.0
commons-io,33,0,0,0,0.0,0.0,0.0
converter-jaxb,18,0,0,0,0.0,0.0,0.0
cxf-rt-rs-json-basic,103,0,0,0,0.0,0.0,0.0
delight-nashorn-sandbox,54,0,0,0,0.0,0.0,0.0
dependency-check-maven,166,0,0,0,0.0,0.0,0.0
detekt-core,90,0,0,0,0.0,0.0,0.0
digdag-core,8,0,0,0,0.0,0.0,0.0
dolphinscheduler-common,48,0,0,0,0.0,0.0,0.0
groovy,221,0,0,0,0.0,0.0,0.0
hadoop-common,82,0,0,0,0.0,0.0,0.0
htmlcleaner,29,0,0,0,0.0,0.0,0.0
htmlunit,33,0,0,0,0.0,0.0,0.0
hutool-all,208,0,0,0,0.0,0.0,0.0
imageio-metadata,37,0,0,0,0.0,0.0,0.0
ini4j,1,0,0,0,0.0,0.0,0.0
jackson-dataformats-text,53,0,0,0,0.0,0.0,0.0
java-merge-sort,11,0,0,0,0.0,0.0,0.0
jdom,20,0,0,0,0.0,0.0,0.0
jdom2,10,0,0,0,0.0,0.0,0.0
jline-groovy,31,0,0,0,0.0,0.0,0.0
jodd-http,82,0,0,0,0.0,0.0,0.0
json,60,0,0,0,0.0,0.0,0.0
json-io,139,0,0,0,0.0,0.0,0.0
junit,64,0,0,0,0.0,0.0,0.0
liquibase-core,141,0,0,0,0.0,0.0,0.0
maven-shared-utils,18,0,0,0,0.0,0.0,0.0
neko-htmlunit,48,0,0,0,0.0,0.0,0.0
para-core,132,0,0,0,0.0,0.0,0.0
parsson,28,0,0,0,0.0,0.0,0.0
plexus-utils,81,0,0,0,0.0,0.0,0.0
poi-ooxml,55,0,0,0,0.0,0.0,0.0
protocols-imap,23,0,0,0,0.0,0.0,0.0
quartz,37,0,0,0,0.0,0.0,0.0
rdf4j-model,155,0,0,0,0.0,0.0,0.0
rdf4j-util,196,0,0,0,0.0,0.0,0.0
spring-boot-actuator-logview,15,0,0,0,0.0,0.0,0.0
spring-core,321,0,0,0,0.0,0.0,0.0
spring-data-commons,271,0,0,0,0.0,0.0,0.0
spring-data-mongodb,280,0,0,0,0.0,0.0,0.0
spring-integration-zip,61,0,0,0,0.0,0.0,0.0
spring-security-crypto,249,0,0,0,0.0,0.0,0.0
spring-security-ldap,258,0,0,0,0.0,0.0,0.0
stanford-corenlp,39,0,0,0,0.0,0.0,0.0
stanford-parser,17,0,0,0,0.0,0.0,0.0
styx-api,22,0,0,0,0.0,0.0,0.0
vertx-web-api-contract,119,0,0,0,0.0,0.0,0.0
vfsjfilechooser2,4,0,0,0,0.0,0.0,0.0
weixin-java-pay,313,0,0,0,0.0,0.0,0.0
xmlgraphics-commons,18,0,0,0,0.0,0.0,0.0
xwiki-commons-xml,542,0,0,0,0.0,0.0,0.0
xwork-core,55,0,0,0,0.0,0.0,0.0
zip4j,102,0,0,0,0.0,0.0,0.0
zt-zip,28,0,0,0,0.0,0.0,0.0
